scenario,horizon,loss,replications,median_loss_ratio,p2_5_loss_ratio,p97_5_loss_ratio,share_ratio_below_one,dm_rejection_rate_harp,dm_rejection_rate_har,total_har_qlike_floor_count,total_harp_qlike_floor_count,share_qlike_numerically_valid,disclaimer
no_periodicity,1,MSE,200,1.000051661024016,0.99777964813304498,1.0022124554048852,0.47999999999999998,0.035000000000000003,0.025000000000000001,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
no_periodicity,1,QLIKE,200,1.0000302719876459,0.99814536416329513,1.0020537997186003,0.495,0.029999999999999999,0.025000000000000001,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
no_periodicity,5,MSE,200,1.0001205947797625,0.99600569312348763,1.0042212329725835,0.46000000000000002,0.025000000000000001,0.080000000000000002,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
no_periodicity,5,QLIKE,200,1.0002487537004612,0.99652918747579367,1.0038141718173477,0.46500000000000002,0.029999999999999999,0.059999999999999998,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
no_periodicity,22,MSE,200,1.0003646828208401,0.99336707629145027,1.0070852505535903,0.45000000000000001,0.040000000000000001,0.035000000000000003,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
no_periodicity,22,QLIKE,200,1.0001533866321481,0.99416207344051077,1.0057711968583161,0.46999999999999997,0.050000000000000003,0.035000000000000003,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
u_shaped_periodicity,1,MSE,200,0.99343244262857944,0.97536788990205836,1.0087863856190777,0.80000000000000004,0.105,0.0050000000000000001,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
u_shaped_periodicity,1,QLIKE,200,0.99310232723169722,0.97852896596656103,1.005611560369714,0.80500000000000005,0.14999999999999999,0.0050000000000000001,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
u_shaped_periodicity,5,MSE,200,0.99139011136752964,0.96226657298650564,1.0228041803391257,0.73499999999999999,0.12,0.014999999999999999,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
u_shaped_periodicity,5,QLIKE,200,0.99095489460369568,0.96588042115221862,1.0187179430939046,0.755,0.14499999999999999,0.01,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
u_shaped_periodicity,22,MSE,200,0.991562131898161,0.95143383666943748,1.040630351410794,0.64000000000000001,0.10000000000000001,0.014999999999999999,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
u_shaped_periodicity,22,QLIKE,200,0.99030619142783172,0.95408206059825695,1.037641708151674,0.66500000000000004,0.12,0.01,0,0,1,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
